farmer_id,name,phone,state,land_area_acres,irrigation_type,bank_account
22,fatima gupta,918718545081,texas,384.34,sprinkler,missing
28,aarav garcia,+91-7282735389,california,144.58,sprinkler,missing
29,pooja wang,+91-7394404811,tamil nadu,123.73,flood,missing
31,deepika gupta,+17151169334,delhi,313.77,canal,missing
34,deepika lee,+17771333159,new york,16.73,canal,missing
37,amit li,+19948932453,west bengal,140.65,sprinkler,missing
59,deepika lee,+91-8729787201,texas,109.52,sprinkler,missing
60,aarav patel,+91-8183180547,maharashtra,323.76,rainfed,missing
72,kavya jones,(441) 566-4583,west bengal,267.18,drip,missing
78,rohan gupta,+91-7532882864,florida,185.22,sprinkler,missing
80,sanya wang,+18326853250,gujarat,303.4,sprinkler,missing
99,hiroshi patel,+91-8614857834,new york,128.41,sprinkler,missing
103,ananya sharma,+91-8949540467,texas,367.28,canal,missing
104,carlos nair,9270769239,telangana,270.98,flood,missing
106,maria lopez,9764399135,telangana,76.75,flood,missing
112,sneha patel,(715) 585-3857,california,214.06,canal,missing
115,kenji verma,+91-9900445180,karnataka,27.9,sprinkler,missing
124,pooja lee,+15674003712,rajasthan,259.57,sprinkler,missing
127,emma sharma,+91-8221327007,delhi,257.99,sprinkler,missing
130,ananya verma,+91-7548717405,karnataka,162.29,flood,missing
138,kavya li,+91-7645828120,gujarat,79.26,drip,missing
141,liam joshi,+91-9775167149,west bengal,398.5,flood,missing
143,emma verma,(214) 781-3773,delhi,259.52,canal,missing
148,vikram jones,(518) 316-7041,tamil nadu,187.36,canal,missing
155,pooja patel,+91-7055749252,california,363.48,canal,missing
158,kenji gupta,(287) 497-2555,west bengal,414.26,flood,missing
165,priya joshi,(376) 776-2226,west bengal,9.92,sprinkler,missing
166,rahul joshi,+91-8263309473,california,266.59,flood,missing
170,deepika patel,9795176794,tamil nadu,282.65,flood,missing
178,kenji wang,(463) 452-7001,karnataka,137.5,sprinkler,missing
189,neha reddy,+18510805467,maharashtra,71.77,unknown,missing
192,kavya reddy,9600058269,california,224.81,rainfed,missing
209,rahul williams,+91-7917129148,delhi,69.91,drip,missing
210,mohammed joshi,917882096986,new york,98.76,rainfed,missing
215,suresh patel,9905803227,california,263.72,drip,missing
227,emma singh,9299264516,new york,80.77,rainfed,missing
229,emma williams,+91-9181753019,rajasthan,33.09,rainfed,missing
242,aarav verma,(217) 294-4904,west bengal,18.2,canal,missing
245,amit kim,+91-8296479365,tamil nadu,44.91,canal,missing
258,chen brown,+91-9304838826,california,482.4,drip,missing
260,sneha verma,+12660607059,maharashtra,281.59,flood,missing
264,neha joshi,+12342501519,telangana,81.51,rainfed,missing
273,yuki sharma,919847346998,telangana,24.1,canal,missing
275,ava brown,+14373663948,rajasthan,434.55,canal,missing
279,mohammed park,+91-7971485257,new york,9.5,flood,missing
291,priya davis,+16600572873,west bengal,482.93,sprinkler,missing
295,maria davis,9960204066,texas,261,drip,missing
299,yuki reddy,9660682860,rajasthan,457.67,rainfed,missing
300,pooja gupta,(309) 240-8982,florida,268.23,drip,missing
302,aarav li,+91-9140776419,telangana,60.67,canal,missing
303,kenji garcia,+91-7319089562,texas,282.56,flood,missing
305,emma gupta,(744) 483-5947,new york,327.01,rainfed,missing
310,james lee,9179280919,karnataka,73.8,rainfed,missing
313,amit joshi,+91-8756613417,telangana,133.31,rainfed,missing
314,hiroshi martinez,+18764943290,delhi,318.9,flood,missing
323,hiroshi johnson,9961988567,california,402.29,canal,missing
335,kenji martinez,9202661570,new york,329.01,rainfed,missing
346,rajesh garcia,917351954083,texas,44.92,drip,missing
347,yuki sharma,+91-8457143178,gujarat,106.93,drip,missing
353,rahul kumar,+14881480741,gujarat,329.58,drip,missing
367,aarav wang,+91-7450567892,delhi,220.48,flood,missing
372,fatima sharma,9932502429,florida,434.2,flood,missing
373,maria sharma,+91-8389312641,rajasthan,439.54,rainfed,missing
377,aarav sharma,+91-8446355566,california,124.71,drip,missing
379,kavya joshi,+16171158221,delhi,38.02,canal,missing
381,amit nair,+91-7953419605,california,345.03,canal,missing
385,chen kumar,+18593505218,rajasthan,263.71,canal,missing
390,rajesh joshi,+16539884117,new york,312.61,rainfed,missing
391,neha patel,+91-7005788611,florida,319.86,sprinkler,missing
393,ava smith,+91-9665968139,delhi,369.32,rainfed,missing
401,pooja kim,9546384687,karnataka,396.26,drip,missing
404,rahul sharma,+91-7052547428,florida,198.97,unknown,missing
414,suresh reddy,(687) 383-1890,karnataka,405.18,drip,missing
418,kenji garcia,9234098083,telangana,35.16,rainfed,missing
420,kavya singh,+91-8138678930,texas,47.47,canal,missing
424,hiroshi iyer,+15177445442,gujarat,9.41,sprinkler,missing
425,pooja patel,+91-7216675510,maharashtra,107.19,flood,missing
427,fatima gupta,+91-8707351985,telangana,74.06,flood,missing
429,noah sharma,(769) 375-5179,texas,228.06,canal,missing
432,ananya lee,(370) 536-9063,texas,160.37,sprinkler,missing
445,aarav singh,919881739661,telangana,431.66,drip,missing
453,aiko brown,+91-9405618833,delhi,433.86,sprinkler,missing
469,suresh kim,+91-8381195427,delhi,372.24,sprinkler,missing
473,rajesh smith,(272) 467-3186,florida,72.22,flood,missing
491,deepika reddy,+91-8729585575,delhi,38.65,sprinkler,missing
496,ava martinez,+19596105023,new york,390.83,drip,missing
499,kavya park,9589463618,rajasthan,314.18,canal,missing
507,hiroshi davis,+91-8126063825,delhi,209.73,canal,missing
